pair_id,domain,split,clean_path,corrupted_path,clean_sequence_length,corrupted_sequence_length,sequence_length_equal,clean_sha256,corrupted_sha256
11,movie,discovery,data\expanded_activations\discovery\pair_011_clean.pt,data\expanded_activations\discovery\pair_011_corrupted.pt,12,12,True,60107d391a2262788abeea46bc416f7966e1ba9fca29751e7dda6f6d7f9f2d87,af95d5b82459bce714f541beae08d8d219b447ed2904411e7eac461a18cd1632
12,movie,heldout,data\expanded_activations\heldout\pair_012_clean.pt,data\expanded_activations\heldout\pair_012_corrupted.pt,13,13,True,5833feb75c6861820ef9d3684a900ee1cfb20c581741d8ad7c11b77ba7a279a2,a65ac934ebea67a3e62df00d8172d5b2c07bfb2df7c155b6432a7d65b13fc4ef
13,movie,discovery,data\expanded_activations\discovery\pair_013_clean.pt,data\expanded_activations\discovery\pair_013_corrupted.pt,12,12,True,3228d85a7ad57e9b3d37f951cfddb07971b39ba5868ce248e194a55eb5d96488,b8a89a98552583c8487fef4d26cb6efa03a6fc7129a56188c3753e9ee6a4b7a3
14,movie,discovery,data\expanded_activations\discovery\pair_014_clean.pt,data\expanded_activations\discovery\pair_014_corrupted.pt,12,15,False,871a84a0421cfab20c02445311b4acdec2eae8c7c7b9d5c2056e2e0f926a12e9,ba1b60a1ae2ea48ac26acfbdce84c5e3d94935aa8dde78f8a65ce6a04af544f2
15,movie,heldout,data\expanded_activations\heldout\pair_015_clean.pt,data\expanded_activations\heldout\pair_015_corrupted.pt,12,12,True,eec9906a0230565b756159b696486b3855dcfc1af6f31394623c61a591bc497f,4807894480046c9ae7c6620f8faee87aad94179782712dd234fab35773daea29
16,movie,heldout,data\expanded_activations\heldout\pair_016_clean.pt,data\expanded_activations\heldout\pair_016_corrupted.pt,12,12,True,7c97b5a96d67b1a3199757ae6067a2708bf0fb9544b5c9198a4655a91d37502b,0d48d6cfd584c2d4034de6317133761e847a1572795188fdd3608401a6f1f900
17,movie,heldout,data\expanded_activations\heldout\pair_017_clean.pt,data\expanded_activations\heldout\pair_017_corrupted.pt,12,13,False,3a799c1d45aa34dd2bb7f3185ec63672bda5252645529141d3a03f76a11960ef,6160a90ac8001d2196e2acab303fb1e199e5c6ec64ba5b0fdb92a81ebb262d52
18,movie,heldout,data\expanded_activations\heldout\pair_018_clean.pt,data\expanded_activations\heldout\pair_018_corrupted.pt,12,12,True,104018f3cfef299e564ec5f9afac930d9ee4b85c32ff9ca199a0316b6dd13ada,8d596fcb7a8d58ab4ef043e78f0b6e95ea4cf408fca10e2af269d6d6654d018a
19,movie,heldout,data\expanded_activations\heldout\pair_019_clean.pt,data\expanded_activations\heldout\pair_019_corrupted.pt,12,12,True,1fa5c5eee9afa2588187d10d4127d0468e2a69a936135d413e1fff5b08c3bc88,be78168079919dbbdfb22d17d14c7ffb2592dfa16ac985db2d50b847dbe179c4
20,movie,heldout,data\expanded_activations\heldout\pair_020_clean.pt,data\expanded_activations\heldout\pair_020_corrupted.pt,13,13,True,2001e07582dff8df8a417f5305b544503b5e2f4b9cc77207dfb3d54e1eaff73f,aa13857bd640b23a32d1dd59c1dceb52e90ea9373243d0f533c9c0b5487b3400
21,movie,discovery,data\expanded_activations\discovery\pair_021_clean.pt,data\expanded_activations\discovery\pair_021_corrupted.pt,14,14,True,ec076a92d5037d4fdfda3ff9b9f770230e848027bebb377b594de6903c12845b,b6843e720554520dea349d67d5dab8d032dd0f34f64ea9f9caf65f309b9db61f
22,movie,heldout,data\expanded_activations\heldout\pair_022_clean.pt,data\expanded_activations\heldout\pair_022_corrupted.pt,14,14,True,f81d0728898fb968777cc29307c3df684519c543d2e5600317805c82c61bedc1,860ba8d4bc2a9fcef54d8b54cca447c06d5ccf1506e3cca6aabff0882ceee977
23,movie,discovery,data\expanded_activations\discovery\pair_023_clean.pt,data\expanded_activations\discovery\pair_023_corrupted.pt,14,15,False,fb24159d8887a45e8f691f556408bd0f1f2130cf5f6fceef93e9e2e44471f1e1,6121f0a1225b69be1aab15caea5af1a96b4258a9ffebae7b90fcd53704b7ed6f
24,movie,discovery,data\expanded_activations\discovery\pair_024_clean.pt,data\expanded_activations\discovery\pair_024_corrupted.pt,15,15,True,c57ecf174bc6cb57e730f9389a581d50156ffb56ab7f73120735d1262b94d878,8e6154ed369ab2e399231a6d1e05800c1b706e06645b592b12910d805569eb20
25,movie,discovery,data\expanded_activations\discovery\pair_025_clean.pt,data\expanded_activations\discovery\pair_025_corrupted.pt,16,16,True,a52229b238ca92b0687fba128ea4d031019ffb33cfa09490cf63a3c48ba505f1,315abee725e83d1b283a71266b918ce6d4aa9951ecf05cace313e2288b75f99f
26,restaurant,heldout,data\expanded_activations\heldout\pair_026_clean.pt,data\expanded_activations\heldout\pair_026_corrupted.pt,12,12,True,222f742a6d1160da50e48ce665caa9f023d8f99909e4c2f899e96b38094d4882,3db9719a3a2f25ffca4e094f789a44153fb47018964801290e1406be2d93406b
27,restaurant,heldout,data\expanded_activations\heldout\pair_027_clean.pt,data\expanded_activations\heldout\pair_027_corrupted.pt,12,12,True,42a20f3041def39424d61b81fc1dbbe2e1be27d151f1f6ef35c22e024f0ed7ae,e50766aa2950da5744c069a0728d383cf3177d08b2eab039166a2da3cdc9e43d
28,restaurant,discovery,data\expanded_activations\discovery\pair_028_clean.pt,data\expanded_activations\discovery\pair_028_corrupted.pt,12,12,True,bfd502aeecaed63e34becea83f63ccde68bf55c9b1a7c2ae0e87df020d5f40fa,ea7f7daa37a0967a6b160a16aa46c338c17dacb686e80edaeac7c39691ee0378
29,restaurant,discovery,data\expanded_activations\discovery\pair_029_clean.pt,data\expanded_activations\discovery\pair_029_corrupted.pt,12,12,True,991ff0aedd832216d992ed0906fb9420acb7092f1c7d3391725b2c73e2b8291d,95d73a9fcea7ef6663d880231513997350bd6030e7d6cc34e6630b7f0354156d
30,restaurant,discovery,data\expanded_activations\discovery\pair_030_clean.pt,data\expanded_activations\discovery\pair_030_corrupted.pt,12,12,True,bb88827d3da84d1f52f2bfb230bc7fe251d2270a34cb69321ea5a3cca2c821c1,eaaf220fa5951810c5087569243962a01ff5068a4065f79fe58e88b0fdf9671c
31,restaurant,discovery,data\expanded_activations\discovery\pair_031_clean.pt,data\expanded_activations\discovery\pair_031_corrupted.pt,12,12,True,2d6046c2e9260bb2f67f09874f7b905551353d977219c2fb6619f88a174e1899,79ef9826eaa57d6f11363e8d2ebfd36995db20f06b2643700e6d537013d46633
32,restaurant,heldout,data\expanded_activations\heldout\pair_032_clean.pt,data\expanded_activations\heldout\pair_032_corrupted.pt,12,12,True,55a2fe70cde388101aee21e84cb6c8d602fe0801001a31883f9415796e6a33fa,46f6dadb95ce31f01791f73ca70f242b41a33eb43705969c3f206335fd87d9b7
33,restaurant,heldout,data\expanded_activations\heldout\pair_033_clean.pt,data\expanded_activations\heldout\pair_033_corrupted.pt,12,12,True,ae8b169c43806ad0168fce114c90a0becf381e52a834609315698342d3abde39,6c108da14f8d4f0976fe24ef82d6ff0c01879c71167f9df94297d8c5a4df63bd
34,restaurant,heldout,data\expanded_activations\heldout\pair_034_clean.pt,data\expanded_activations\heldout\pair_034_corrupted.pt,12,13,False,c8a161db108a171776e41f9768fa371d80e56ad864e12f14944bed9769226886,f315be3d10d4709a5b7001a6fc9abacadc80493889af10bca4d7c883ec2d3d76
35,restaurant,discovery,data\expanded_activations\discovery\pair_035_clean.pt,data\expanded_activations\discovery\pair_035_corrupted.pt,12,12,True,7b8892c4ef6449c3f1687be8e5e14a0ec37a532963f466e22580adb0c1fbde29,d311a23d5883002aecd371311da54adb2ead5778e726a79aca64ddfc1deac149
36,restaurant,discovery,data\expanded_activations\discovery\pair_036_clean.pt,data\expanded_activations\discovery\pair_036_corrupted.pt,13,13,True,9d8eb534df4d89175e53fadd2e8aa4b3b005cd9612855bdcc28b4c3a8daeb913,b7109adf75c93d3a4257c98a8d5e3764e02cfc951c3a887aaf969e14b4f769ce
37,restaurant,heldout,data\expanded_activations\heldout\pair_037_clean.pt,data\expanded_activations\heldout\pair_037_corrupted.pt,13,14,False,572921751e4a0eb13566bb613ac1e53de5db38ac83a57f8c92fdc01cd6c74597,fcd9d3360c28e2fd9aa3535d13627a1767be137442d96cd218a21a5acd9c3ca4
38,restaurant,discovery,data\expanded_activations\discovery\pair_038_clean.pt,data\expanded_activations\discovery\pair_038_corrupted.pt,13,13,True,5cbf62b9eb3af68289c9116347ea83ba11b55367fb3d71b988ea38377f2fbdba,612a6b9b035c0552122441ccadde0fc2dff05d30e3ae3f6c9dfa5a8bd70d4f25
39,restaurant,discovery,data\expanded_activations\discovery\pair_039_clean.pt,data\expanded_activations\discovery\pair_039_corrupted.pt,13,13,True,32ea435a1e60ccc5234b0d823720d84477f7e1bed0e5fb503a23a3cc0f690b82,1d5784d5caef979a4fd1ffda961b3bf843aec7c1bf06c05c902eedf8a3ae496a
40,restaurant,discovery,data\expanded_activations\discovery\pair_040_clean.pt,data\expanded_activations\discovery\pair_040_corrupted.pt,15,15,True,b19068d8ac58101426b3cb245b7b15c41bae9ff12a568a01b062ee5f5c5a329b,d8f47d723c46d86d297ac959a5208f238f05abe0d1907ae1fa5b472e60b41839
41,software,heldout,data\expanded_activations\heldout\pair_041_clean.pt,data\expanded_activations\heldout\pair_041_corrupted.pt,12,12,True,12b72f9db673a51051ecfae6d8ec57613a7a9e61a519faba89f63530d0d9ae9a,7e92887ccf37f6eb6150965b2c5e488eb4cdb26b891b5e6f51e316f3329dbb34
42,software,heldout,data\expanded_activations\heldout\pair_042_clean.pt,data\expanded_activations\heldout\pair_042_corrupted.pt,12,12,True,9151d9e7a0eccb0bc868d64a7fcff40641b64c1831c682479a4167358303f726,26c2d5d2b93b34d4d351bc5e13604c79d392bc1914923acfc4143816b40f4f87
43,software,discovery,data\expanded_activations\discovery\pair_043_clean.pt,data\expanded_activations\discovery\pair_043_corrupted.pt,12,12,True,2b54e038a8ad79e98daaf7df99b59ba2a622a6e17e4c0e8796fe439df08a78b6,d8dfac80dfccad0ffdabf9e8ead0d331b75b42b5edac5f63933f6596075710a9
44,software,discovery,data\expanded_activations\discovery\pair_044_clean.pt,data\expanded_activations\discovery\pair_044_corrupted.pt,12,12,True,edda8c2122ca85f0862e3b6f733e424d6edf05e8fa43d9829e0364517695b4ab,82567ec4ab1e335b2d6ee302f25a9534034ff84b295ad0717582b1c7e0207e6a
45,software,discovery,data\expanded_activations\discovery\pair_045_clean.pt,data\expanded_activations\discovery\pair_045_corrupted.pt,12,12,True,1e7af75545c425c96b2cd0d4675651de31ab50988b900a0b894d7f6d0c5918ae,cd5b4b5cb96e57c653c1d771971704a71c5bfdb500aa51707ba79ce7fea21672
46,software,discovery,data\expanded_activations\discovery\pair_046_clean.pt,data\expanded_activations\discovery\pair_046_corrupted.pt,12,12,True,86d25ac5d48afeb2ed8f7220492c0b565501a1e7183e0d111380ab279d730a39,be1be24602fe6b1a23d574ca4d686139f1d9f28ffd0437dd9334486e908bc32d
47,software,discovery,data\expanded_activations\discovery\pair_047_clean.pt,data\expanded_activations\discovery\pair_047_corrupted.pt,12,12,True,60ae203bd156e7502202ba178edcb17e3721089041680ce46d953f0c2799e91d,f0239ed73317a1b6cb0322db5deb4d3ed4b0bad09f95f5b46f049f3567989a89
48,software,discovery,data\expanded_activations\discovery\pair_048_clean.pt,data\expanded_activations\discovery\pair_048_corrupted.pt,12,12,True,c3815c92d104f4724cd84b176ed35e4f635708ab4f458850b9bfb68284fa87da,fe9325bf0c4e27c096a967c7500054f722ce7d03767c88f8ca6d68ad816c7fb8
49,software,discovery,data\expanded_activations\discovery\pair_049_clean.pt,data\expanded_activations\discovery\pair_049_corrupted.pt,12,12,True,8472b28f1e2f648b2cadb6b00daea0878fa92c3df8e958ade57e185236f39788,be8136b710324783248b3a8fe2b1748796bae8e5e61880cd45f2c903a24ce9dc
50,software,heldout,data\expanded_activations\heldout\pair_050_clean.pt,data\expanded_activations\heldout\pair_050_corrupted.pt,12,12,True,53161f14e9245cc1aaf22937524b4cf860209022e9dc3ec5c2c3596581ebbaa7,d9c9925e8df2269f7adc3dc3969bf03862cb2b5f6c534a3339f0f5cef8cf80b6
51,software,discovery,data\expanded_activations\discovery\pair_051_clean.pt,data\expanded_activations\discovery\pair_051_corrupted.pt,14,14,True,437cd70737514cea6250b39c18e94d8fe0baa19f02cac29daffb0bfa258b1be5,d3684dec8a742d8bd18ee124215db2556d140b05c4fdeeec97f64b91b85885b6
52,software,heldout,data\expanded_activations\heldout\pair_052_clean.pt,data\expanded_activations\heldout\pair_052_corrupted.pt,14,13,False,c3ceed2486131df7c036ef14adf9fe0606703056edae60cdc09134eb5bd25156,3d6b2f35709392e4628fe652d1bf0385a03034c4fc114da250381021661769d5
53,software,discovery,data\expanded_activations\discovery\pair_053_clean.pt,data\expanded_activations\discovery\pair_053_corrupted.pt,14,14,True,c7ecb0cb2d0af90258251ef2cb6deb9cb0f55dc8f8436931cb2c8e7cd6070f9d,a7e2e2cb971419d7f1de74656605180f8eb59ea7b1b3ae6c5963c5d185f7e4b0
54,software,heldout,data\expanded_activations\heldout\pair_054_clean.pt,data\expanded_activations\heldout\pair_054_corrupted.pt,13,13,True,0ab301e87b9ebbae92a6496979c85bcf579a6620b79d516d769d719b4488723c,da5759a3984892c6f0e33f51ec5b3d4a5de70f2314d7267853e353895b3431ab
55,software,heldout,data\expanded_activations\heldout\pair_055_clean.pt,data\expanded_activations\heldout\pair_055_corrupted.pt,14,16,False,0857068925f8440076465f7ccf98b89960c642b18c95f75fa1c5e41e88776691,98897b78a3c731821924ae1bb2e87a8665e2063df59ca99900657da22bd2682d
56,product,discovery,data\expanded_activations\discovery\pair_056_clean.pt,data\expanded_activations\discovery\pair_056_corrupted.pt,12,12,True,73cc0c63814337612e3e87ea3a9ff490c72be7b2a5d2ecc23c60aa490dcf0e1c,8822bd2a254b16a81ebd5601fb8f642be49841cbde02b8b8a529f7b4cc11dfc9
57,product,discovery,data\expanded_activations\discovery\pair_057_clean.pt,data\expanded_activations\discovery\pair_057_corrupted.pt,12,12,True,50bfeff7f498dce205b90c8f95042e82fd80e8b991acd36696b3e3329422adcc,3eb9521495db3cdae46e7b86f95f92f8cf91ded953e24924b908a55e22d9b2e0
58,product,heldout,data\expanded_activations\heldout\pair_058_clean.pt,data\expanded_activations\heldout\pair_058_corrupted.pt,12,12,True,28ca45422dbedc8f487197e15acd250da38d39dd9d129a539344ef2f0fc63d0c,148c579d2622dbf0e20e6ce51f63d95d11b6a221d6d97d839f272c8fb7f406c2
59,product,discovery,data\expanded_activations\discovery\pair_059_clean.pt,data\expanded_activations\discovery\pair_059_corrupted.pt,12,12,True,30f6bddac9ba48a42234ad81820e84af89d8162dec11ee559717d7befe9cbf75,93979f0944a501e4877a904618b6da48033841d6df39b7daf21892d5ef5d99c4
60,product,discovery,data\expanded_activations\discovery\pair_060_clean.pt,data\expanded_activations\discovery\pair_060_corrupted.pt,12,12,True,79ae61f067366b1e6682b28e57b22db76047da8dab1988fb60ff6a8e9570daee,70d56c723804f854444f90968a5fdf213595a04aaa0c6c75ccb297f570769d01
61,product,heldout,data\expanded_activations\heldout\pair_061_clean.pt,data\expanded_activations\heldout\pair_061_corrupted.pt,14,14,True,9632ef97938f1f67f1bacaedbe2d4d76acda93c9d6d5954a43ee477fc4b318b1,c3cd8c57518a34de6820375bf7521f3c40dc400b53cb475865088be2fb351ee9
62,product,discovery,data\expanded_activations\discovery\pair_062_clean.pt,data\expanded_activations\discovery\pair_062_corrupted.pt,12,13,False,88f882c0216c4b9053c806697ba31af6e3aa8d688d5ec5124a6ca70b8dde1381,a85c406039c8a7a27a7e833e04bd9cb4c1c1a37536089a7a10ab6e6b142563f1
63,product,heldout,data\expanded_activations\heldout\pair_063_clean.pt,data\expanded_activations\heldout\pair_063_corrupted.pt,13,13,True,bbb10069417d899bf85eb9f54d503af16eb7a8ad9b98205933609938bb6499b5,48760c3b5b15146b639964a58691d44fb94180fdf0d9e12b2c5706345f7cb10e
64,product,heldout,data\expanded_activations\heldout\pair_064_clean.pt,data\expanded_activations\heldout\pair_064_corrupted.pt,13,15,False,75cff73c394c466145624f5bfbdb637919ec4dccd90ca1ff8146b2795614862a,01e2b1b2b9ee6336595f592efca0d07107906e053011f1e0170c4dd7cc424e18
65,product,discovery,data\expanded_activations\discovery\pair_065_clean.pt,data\expanded_activations\discovery\pair_065_corrupted.pt,13,13,True,86f3828cbf3ae92755472c18bcb0e435b71e1bbd72f7180256c8e3341af56ebd,9ccfab4eae1bddd776a4d8ae7ff294a759126a4124782b9e16e4135fe1e625eb
66,product,heldout,data\expanded_activations\heldout\pair_066_clean.pt,data\expanded_activations\heldout\pair_066_corrupted.pt,12,12,True,66bd2c5e7063e09962189c49de065e39ef157da5cdb1aa12bd7d75d9ec76dcd8,da988cc0d4a06a85247ef4b63a0e3118457c603773563db670e004f6539a6d1b
67,product,discovery,data\expanded_activations\discovery\pair_067_clean.pt,data\expanded_activations\discovery\pair_067_corrupted.pt,12,12,True,21b826988237086b084578a8baa66af60644f41a89f21c5078aba893f01ac000,6ed3767537c5b18c75be3c0da4b20e036472cd02bc2607279684183d98b7ddd1
68,product,discovery,data\expanded_activations\discovery\pair_068_clean.pt,data\expanded_activations\discovery\pair_068_corrupted.pt,13,13,True,410dfe9626ffe3df32ee5962d63191f494a93b386894e560e38a5d638e947ef6,ef7e976621300b0447d081eab4879d4aa79c192ed7eb2ab0f99765e524e494f2
69,product,discovery,data\expanded_activations\discovery\pair_069_clean.pt,data\expanded_activations\discovery\pair_069_corrupted.pt,14,14,True,c00ecf6070c4ef02c76924f37213c7bde0316609f63cb098695a31e3ed389dfe,e258009d76cc8c82a64501fa994b3bc3b583839a03738f883c17e94a45b1658b
70,product,heldout,data\expanded_activations\heldout\pair_070_clean.pt,data\expanded_activations\heldout\pair_070_corrupted.pt,13,13,True,90b248dda79837ad35bfa2d9b851fa4de24851628b6d6a9ed688ca4d686364cc,9d6aaf7d844c60ab37787c2f57edd2029f4975ab5ff09209155851e379f25e75
71,book,discovery,data\expanded_activations\discovery\pair_071_clean.pt,data\expanded_activations\discovery\pair_071_corrupted.pt,12,12,True,6d9cbd5762e1c7331ddaee9ce8a4edd07baf5fccccd9fbb8e3594f8392f4926d,75fdf7ffd41aace8868607b1cbccc83134f72681339dd0b47ff39368471c185a
72,book,discovery,data\expanded_activations\discovery\pair_072_clean.pt,data\expanded_activations\discovery\pair_072_corrupted.pt,13,13,True,50e87583f05858a071179d9e1538d8df92352e5a4c92e81a536f9da20f6da455,d94227c584d20a4afb24dfbcbffdc10909f1d1d4c7c55abadc6a1d8cc7c1981b
73,book,heldout,data\expanded_activations\heldout\pair_073_clean.pt,data\expanded_activations\heldout\pair_073_corrupted.pt,14,14,True,68011feeb4b7f18482248e44af0d54275b1f662a811daaf7cd9297a782a1b381,bc2f901541d2defbc387fd188e2396c48f96e8957252a73925adb14eee996de8
74,book,heldout,data\expanded_activations\heldout\pair_074_clean.pt,data\expanded_activations\heldout\pair_074_corrupted.pt,13,16,False,a36aabde1c9f1847df6a8c6e9b76175355315339c44d85f45b999e883fe3677a,de7a3905cd91c7bc97a001cb2cacbf7b921bfd2ff292670d965a2c32ea4e2f5e
75,book,discovery,data\expanded_activations\discovery\pair_075_clean.pt,data\expanded_activations\discovery\pair_075_corrupted.pt,12,12,True,a19ceea3e271ad641db35c7ae099611a81c48023e006969d10e9f51f25fb1b50,bf618c6189a49b36d848188ce567a459625d39d6168fb051ed285475fce07d65
76,book,discovery,data\expanded_activations\discovery\pair_076_clean.pt,data\expanded_activations\discovery\pair_076_corrupted.pt,15,12,False,2f17fab02f71e4e50c1b46a3d92ce7a5abe8b011aa3264a9668f9e25df31164c,f80ab6c132f8f1fbc158aca314fd0f6befafc5b0368f9806636dd7708bae4db9
77,book,discovery,data\expanded_activations\discovery\pair_077_clean.pt,data\expanded_activations\discovery\pair_077_corrupted.pt,13,13,True,8e436f2c961e957eb55d14b5080275d4c9452d1fc668d5dc19efb3039e36ba66,3fa6acd9cbcb314633b6fdd066935289d4768f8bb3fe02132df023b01483237c
78,book,heldout,data\expanded_activations\heldout\pair_078_clean.pt,data\expanded_activations\heldout\pair_078_corrupted.pt,12,13,False,fe063522447ea42930e673ea267c674bdd337f9f78887450ce5216509d3821f7,20dfd4198e47bdc56bf674869b8137de22d48bb1a04c27e801d17f470b69cb5f
79,book,heldout,data\expanded_activations\heldout\pair_079_clean.pt,data\expanded_activations\heldout\pair_079_corrupted.pt,12,14,False,56b7014af2afbea2644d9e4c4db3320943010669b24be44f35368e7c49470da8,7f6dac091989dc5a08f0def31078b1f848f185284f65e1a0f7e1beb958dd5850
80,book,discovery,data\expanded_activations\discovery\pair_080_clean.pt,data\expanded_activations\discovery\pair_080_corrupted.pt,15,15,True,d0fd4f9d4f4329bab02aa5e9285d561b9f626b0bf4dbf7f388b000e7de40ee00,0e2598281a580660cacdc622a4ba02847e90ed3dc56d24dc42451b8c36a5f6bf
81,general,discovery,data\expanded_activations\discovery\pair_081_clean.pt,data\expanded_activations\discovery\pair_081_corrupted.pt,12,12,True,49f1fe363a9110bde0002b6c5a4c3b5d09ec824c5f808505b95918be120441df,b7a9ed0552e2a05c8c5cd11ff73215bf3f2961ebeb75eb3042adb42f0f925c9f
82,general,discovery,data\expanded_activations\discovery\pair_082_clean.pt,data\expanded_activations\discovery\pair_082_corrupted.pt,12,12,True,749aa1d375aa90bdcb7e6b189537bcbd1eada6e57e34389292df0aed35c0a74b,941f898a70fedb4da9888dfbb61f1aa1974a098190494b914be2484c8c82c333
83,general,discovery,data\expanded_activations\discovery\pair_083_clean.pt,data\expanded_activations\discovery\pair_083_corrupted.pt,12,13,False,38323ca7ccf8a2cf44be03669382253c268b8953d476429ebc6906c993ebd06b,088af76c73d5552cdcee5e1f30660e44149ca6f6a18f46bd85057f16fbb343e5
84,general,discovery,data\expanded_activations\discovery\pair_084_clean.pt,data\expanded_activations\discovery\pair_084_corrupted.pt,12,12,True,a4e8cdf2925bf11097f5b541409833258f4f9bfca579542633665054d999ef2f,684f47754a1d6ac71e9546e809ba8b10091230c3ed844730f6d4e2652c7d7ebb
85,general,heldout,data\expanded_activations\heldout\pair_085_clean.pt,data\expanded_activations\heldout\pair_085_corrupted.pt,12,12,True,9825ff7c702b5187986ea1df629875e121884ec08c4b6e42b56750bf975a8f14,c8759a264a7b0bf96462b9d9c6c98d988456d8e02eb448297be8fc838fdd61b0
86,general,heldout,data\expanded_activations\heldout\pair_086_clean.pt,data\expanded_activations\heldout\pair_086_corrupted.pt,12,12,True,4c8c6fa7980a9adf5197b3ed3eb77a0156d770c1d6d9a5742699bba285c2fc0f,f12333f197eee9d26b8701f8efaace10b5df612a6a02d91d6841f8e7d748ed89
87,general,heldout,data\expanded_activations\heldout\pair_087_clean.pt,data\expanded_activations\heldout\pair_087_corrupted.pt,12,12,True,6a4802d21ba54b1bae386bf3ba34b38eec02d1d0f9fd0dc5fbd900f10fb7c56b,9976be2a5da8e9dc858d425c206b66fa927d85299b6d6bf8dab80c6b7faca06b
88,general,heldout,data\expanded_activations\heldout\pair_088_clean.pt,data\expanded_activations\heldout\pair_088_corrupted.pt,12,12,True,1689ee36cf6608eadb69be7370daff6059d8a7f330d994aa307ec5208670d5c8,78709722dbe3b0440bbcd2ec3a31767770a262adb85360f70a40c531a52555c5
89,general,discovery,data\expanded_activations\discovery\pair_089_clean.pt,data\expanded_activations\discovery\pair_089_corrupted.pt,12,12,True,0e4d05ee51e4110161e59f504e38823e50d140138972fe4a18f53ac9c264d83d,339b8f6234e6ec7004b5d4bd9a01957a1f4f333b6508d379bdbb34b59b02a2e2
90,general,discovery,data\expanded_activations\discovery\pair_090_clean.pt,data\expanded_activations\discovery\pair_090_corrupted.pt,12,12,True,c6afe0f8787d5ae541005fefb4f8c05c02623c4eb2cf15fa8a504a12d3ebec2a,5e8e8e88f369e22f486fb455212d5da0b3a87a836b0ce62bb3819b5a80b3547f
91,general,heldout,data\expanded_activations\heldout\pair_091_clean.pt,data\expanded_activations\heldout\pair_091_corrupted.pt,12,12,True,ab3326bc024a059ed54dce428e2f8079736861a92b2631d120bf19f6c5c86ccf,62e89e2eef1e39dcada1a19259e43b8f55d1435473c1fd51da09aa59f616e58e
92,general,heldout,data\expanded_activations\heldout\pair_092_clean.pt,data\expanded_activations\heldout\pair_092_corrupted.pt,12,12,True,84dfc68e599d80fc1b1dc87478072abc62319ef522807976bcbb37dff57683b7,ab6dd99d594e4dd7fddd7e11c366e020cb257e5bb41495a1ac3dccaab597c55c
