pair_id,domain,split,pair_hash
32,restaurant,heldout,706d5e3b296b1585812c3457272945d2bd3ca345a222d3ada2f703cd2b8b6a28
33,restaurant,heldout,ce560da4f0272bdfe89f5bb8fbb614a01e9261013fbc8362e9ee508e10af78ec
34,restaurant,heldout,d89daaa1eba8c00e509c4a03af3b2a21b2ed5412430598e8963f935da520ee2d
35,restaurant,discovery,efb2792d5ec88de27c5c909a4f70a1fe72d76d6a474b1ec6e14c25188a840059
36,restaurant,discovery,aa5ad2cf2d2fcfb19367ed97e1092869523f65633a15029503651955f56b18ee
37,restaurant,heldout,3f486291cba09b2f002dbbe34c31c5432f19f340e9b44d0e85705300b0834baf
38,restaurant,discovery,b0cbcdc2befc480bd1f1074e2b36cba960013e90ad93ce9f88eac4751fc9e8a8
39,restaurant,discovery,783c46a351bbbfabbe1d10fe34c28dbcd0fb024cf9369242b4708a5d02ffc12e
40,restaurant,discovery,878713aba7017fa68b47aa95894dc3995c1bbe9958486da32be149d392b941b8
41,software,heldout,9f3c4509bf40725911ef04eb6cd8354822f69783db1f7ba8fafc7e28a55bea1e
42,software,heldout,99cc6ac36b5ca3b5b5262555cf58385010153900a6779d220d7d0785860313f4
43,software,discovery,5e9a125e9eeb51d64571dd65c62e43e8d8ee12d14ad81e8a7bcd3b248e3c5a4c
44,software,discovery,1b68c0fce99cdced6c2cc7f32539187802c8c729963390381a5ecffb4fca15d8
45,software,discovery,ac17b3f5e229a8d11386fbf5d69d77f2fec14250a1202ece15dae6ba417d9d5a
46,software,discovery,4da6ef4c624282ad23173cec7c49acb37faa2ad29efe79f83723fedca4a797f3
47,software,discovery,547a7375fd12cd8200e9628ccfe6418a56a478bb35708ef7dacddc3779324e89
48,software,discovery,eabe41232b773cd7a907bd82bfcc4c6de65a38e7f5ec5a0b597ad39f16772ab5
49,software,discovery,817e9bf4fcac30368aaad7bc479a899bfeba70bbdcedad09868b1a67d15d84f4
50,software,heldout,a651ed52bf9b347f6cd3a84747152d2a1da17fd1e9cea4ac84e627a54a093ff5
51,software,discovery,11f3b274b26261400b48f7823051da759c7b74c017e08c4d85b974e9e9f2a879
52,software,heldout,7bd02cb5c7cf88e6daf585066d48832f647af98ec151ba48c7203cfcba110cce
53,software,discovery,63960833ecc87aea48c3d5ce7a8a12c85d8a1f212161fd89176e5d73b216f64f
54,software,heldout,766fb9bbf2fd3921d72d1ee73e99083b74bc9778a09aaa4a42ae589f95093d48
55,software,heldout,b3634f3b57efa1db5a0954716eb7d442724bc2b6f5a1bb9c89810febab6cc917
56,product,discovery,51fec04753c18e87d50f95673fa4c9760738731257ac40ccc78b4e995a96713a
57,product,discovery,798437f65a1fa023361d5ae48d7996179488a61c34fec82958739b3fc2356c8d
58,product,heldout,6297d4f264f43fb0279d64b2b28c9ed726e34076fe5334625f7a1b35eb275c79
59,product,discovery,f43da7d2c2c293abef2ece6c68bececa7d9c3d9d5ae8d59a6abd127de516fa7c
60,product,discovery,b362fa0152f8790866c57c9dcc4386bf64281961326a116a5564389a8d45a9e7
61,product,heldout,5ca03ff5d5e2113d56ccfab09146d19888a6099adaa953ef5618a4fc563d4354
62,product,discovery,a5c3292123f13f5b34e71bae5fac826cd28a0fe8c189f2a39f3dc24ecd1034f7
63,product,heldout,be1beb428bb6fa0579a3e0d46c6fbfa6c1629755e26b00b3c259553165fcf733
64,product,heldout,ea1224f67f3cc8af52ab7db42059563b4aab5cf797f85816ce1f3aeacc090c44
65,product,discovery,b5aa7f6e1838348cb58d4d5441c2a52fb878f48625e5c2660e094258fe1ae8d8
66,product,heldout,9c809f5f5b6d192ce95d09fae579f432343d327b33145968c9824d61e604e14e
67,product,discovery,963d134af0efba00f1d3192df44cd4e00bda9e4d291953ac0b9eb33d456553b6
68,product,discovery,c938bc520caae6c7883ab20401fcd543428a97e4e971a7de7124d2f9f3d0ec40
69,product,discovery,fd0f64da6134664b2a8e2c5167a6e15a7e7c13456d1e59bc42b44ca9aa12d37a
70,product,heldout,342ff28089c8e1f2508aeb2abd17922f961e95ddf580c04252ff06fa5a1a31dd
71,book,discovery,1282e738129fa4c7c84fa386cd70ae7b8ffe476345359419b707ba69f048ae95
72,book,discovery,acd527a665db79ea4f0f98996f4e9d348f152e2ed506fddd67bf5d60b9b4d549
73,book,heldout,8da1ee3b91521141d13ccb6997f60a1a3bb73dea4f3417e4c36eeb0445dd501a
74,book,heldout,ad37d76eeb6be40f5ac5de14936de931d89b7a1b1dca9cc031d7d054cafaf290
75,book,discovery,900eaf73ed15af5d1a1269129bfcd98691d58b3fde025d0d0308a2d62abd495c
76,book,discovery,c2e7d59a929ad5bf630a58bd92b22001dabc973a07ceeceb07de1a191a1665a6
77,book,discovery,801a0d17d4cd4d422b56c248d70ccb7c2f49f77ee10af9a44919fa1e7676e1a3
78,book,heldout,acdf177b2dec387a11914d29a3fe216d8489037b79b994ca180c641ee037b5a7
79,book,heldout,38aaba912e78acf635e95071ceb43762d7182f54d0ade918485d78c1ebe3b40b
80,book,discovery,1e9d81bbc81a7149701a6470bcac27701a868638f0eee0df51496fe4ecbec61d
81,general,discovery,44769c07eacd9e59592f21e295cc8afe306996b359c799823a0cfdecf2dc9fe7
82,general,discovery,c368e2d99da81f273b9ce79034affd55dbde3c652eee752577948fb58727d753
83,general,discovery,e010cc276e80392313bc0b2ff14b4239d27ed13ad0761a8fe19747fed0c3ab05
84,general,discovery,6846d3cc6cd70ac40d0d4c3f5bb6695fed23a4ad869bd6ee0bfb8834993ef1db
85,general,heldout,520241ed9e1cee4f183af3b28de90999be1755469d82c643ab6da812532ea4b8
86,general,heldout,737002137bd22ad40225ecadcd7fbabff3a109f1cf9ce90b5ce7e58963e765bf
87,general,heldout,2427fd45af59f57bae0b66233f07d1c6341de17527c02bf3b29652cd713b4ffe
88,general,heldout,4c7d39d9b56dba1484e4bef4c324fd1448a877b100f2e5a332b3da5a02253653
89,general,discovery,c8a7b6673f8438219b7e887ea1b1a85c80749117b8225070d83d20e6cd6400ef
90,general,discovery,0697b4349f16ebf397a083ff16cc071d682c9f5331422898b900c9f4cc3f771a
91,general,heldout,f330333d79c93788d7a71e537bcce0bf7b7313ab69f3f061ccf9419d345f8613
92,general,heldout,4faff19232dea6d9cb1b951e655e710a82ab5f1740ae14c8bb62a7bbd4822db2
93,general,discovery,f6c2904c57d7a93f5000ca050d26610261f094e4265d905a2c1c0646400c28b1
94,general,discovery,642f264d675f46db99a24aa913a5555b60005e3a9665c54d984fa2118758c65c
95,general,discovery,1c1ec2d1b011939794bead76c7625f40aa24bf6eb119e313cdcef61cb6148566
96,general,heldout,bb8679e8ea305eab83ad6f0a17d6c47cd49e30876b9edec11fa036802c2fc8f7
97,general,discovery,7eb985cbd39d2d2ef27b89e10ff32179772497c4e1b9a436990a741ba15b45f4
98,general,heldout,210fbdb15e8d6a99028514239b9ad95fb7f41d00d40cb2285336b9d151cba752
99,general,discovery,5eaa3caba2fa2ec5792529bb636fe5e0654ec0433187a0e6b525216ede2a1e70
100,general,discovery,72eef6225f3a3928ad6a7123a1c65c285cf0d9622bb450e80290c2d6f84e6fb4
